receta,dulce ,salada,tradicional ,internacional,res,pollo,cerdo,mariscos,pescado,vegetariano,casera,gourmet,precio,tiempo,nutricional,diferente,comida rapida,dulce,mexico,japon,chino,francia
r1,10,0,10,0,0,0,0,0,0,0,0,0,10,10,0,10,0,10,10,0,0,0
r2,10,10,0,10,0,0,0,0,0,0,0,10,10,10,0,10,10,10,0,0,0,10
r3,0,10,0,10,0,0,0,0,0,10,10,10,0,0,10,10,0,0,0,0,0,10
r4,0,10,10,0,0,10,0,0,0,0,10,10,10,10,10,0,0,0,0,0,0,0
r5,0,10,0,0,10,0,0,0,0,0,10,0,0,10,0,0,0,0,10,0,0,0
r6,10,10,0,10,0,0,10,0,0,0,0,10,0,0,0,10,0,10,0,0,10,0
r7,0,10,10,0,0,0,0,0,10,0,0,10,10,10,10,10,0,0,0,0,0,0
r8,0,10,10,10,0,0,0,10,10,0,0,10,0,0,10,10,0,0,0,0,0,0
r9,0,10,10,0,10,0,0,0,0,0,10,0,10,10,0,10,10,0,0,0,0,0
r10,0,10,0,10,10,10,10,0,10,10,10,0,10,10,10,10,10,0,0,10,0,0
r11,0,10,0,10,0,10,0,0,0,0,0,10,10,10,0,10,10,0,0,0,0,0
r12,10,10,10,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,0,0,0,0
r13,0,10,10,10,0,10,0,0,0,10,10,10,10,10,10,10,10,0,0,0,0,0
r14,0,10,0,10,0,0,0,0,0,10,10,10,10,10,10,10,10,0,0,0,0,0
r15,0,10,10,0,0,10,0,0,0,10,10,0,10,10,10,10,10,0,0,0,0,0
r16,0,10,10,10,0,10,0,0,0,10,0,10,10,10,10,10,10,0,10,0,0,0